FP1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,PZ,PO3,O1,OZ,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,FP2,FZ,CZ
0.54181549,0.81532811,-1.9345648,3.0219993,0.051333259,0.87089371,-1.2358125,-0.6888561,-0.93646755,0.025100043,-0.26298802,1.0795342,0.62938151,-0.58970053,1.2024826,0.14931756,-0.69110272,-2.7150551,0.9003471,0.29491521,-0.96435053,1.0869264,-0.84348201,-0.49427285,-0.8830604,0.54909213,0.27618121,-0.25680289,0.19106918,0.63878105,-0.19562837,0.36765008
-0.10209439,0.73277137,-2.1224174,1.8429353,-0.58912422,2.9266583,-0.18984583,0.19437951,-1.2968037,0.84890296,-0.22300486,1.4542548,-0.57408,0.3420851,2.4726454,-0.31856094,-2.6428517,-2.9304354,-0.2214047,4.0038041,0.48891261,-0.13752657,-2.2385745,2.6346153,-0.50617733,-1.1316574,-0.3563396,0.17182542,-0.57128106,-0.072130496,-1.0488595,-0.84061459
-0.72545456,-0.40125428,-0.99494498,1.3609306,-2.6652546,3.7772426,1.7234408,0.98622363,-1.9340581,1.6953301,1.3016488,2.7495659,-3.4028379,0.33554261,3.8586482,1.2316831,-0.068681315,-4.4263694,-1.1749121,6.2194494,1.4436581,-1.8553892,-3.1309208,4.3717817,-0.1995051,-4.0785815,-1.4628198,0.60044332,-1.2835164,-0.028844432,-1.0083157,-2.8139289
-0.066594101,-0.38583908,1.2844117,2.0317768,-2.8579232,3.9574832,3.5309072,0.032284153,-3.741251,2.2426715,2.7542955,3.7551722,-6.6176252,-1.0834766,3.5530974,1.2427047,1.5741137,-4.0521096,-1.0962635,6.5558471,1.760246,-3.9832875,-4.1076003,5.1770277,0.054585718,-5.794806,-1.3897457,1.7812446,-0.7704314,0.70883955,-1.3829442,-4.6668113
1.297648,0.87898971,0.89874894,3.8844165,-1.3089338,4.2438483,3.0921093,-0.32668225,-4.9608188,0.72340181,3.2069753,1.6783437,-8.1570063,-2.8707183,1.6531605,-0.96195116,-0.11041286,0.044619934,-0.60390478,8.2992505,1.4782641,-3.495825,-5.1830954,5.5203899,-0.093383996,-5.2949054,-1.2402259,2.6042903,-0.46357346,1.6194762,-0.83004133,-5.2224475
1.8807441,1.2675067,1.2221096,3.3032418,-1.3349587,3.1988982,2.5491192,-0.64183738,-5.3151834,0.12855336,2.7182323,-0.90433358,-8.3486869,-2.5859857,2.073904,0.3003384,1.8017559,2.67668,-0.80186375,9.452225,0.56085017,-3.9855418,-5.6681015,5.1566668,-0.23973356,-4.1884397,-1.5213919,2.5389647,-0.61130161,1.4397227,-0.86532918,-5.256818
2.5084085,1.8148072,0.87958955,3.4638424,-2.2471678,0.081514173,1.6398206,-3.2349929,-6.8748304,-1.288987,3.1414334,-2.5089629,-9.6506514,-4.2532489,1.3628511,1.1890707,5.7951392,2.58681,-0.21640288,10.727325,2.764699,-3.9751842,-5.3582206,5.333553,0.71250008,-3.5054705,-0.69645225,2.9858854,0.35773747,1.8300604,0.21119806,-5.5756682
3.6319836,2.4448505,3.2765841,1.5326015,-3.2744281,-0.42728879,2.6236254,-5.4770969,-8.2924338,-1.7521204,4.4590075,-1.1701124,-10.964475,-5.3240806,2.2842362,-0.19519942,3.7568476,-1.7422794,-0.58521631,9.876093,2.8531833,-4.7565886,-5.1590288,6.0242464,1.8910964,-2.4560976,1.4973004,4.3632168,2.2757573,3.451669,1.3442248,-6.0100738
5.0317357,4.0107369,2.6019593,3.55004,-1.0574064,0.71601525,1.2791448,-4.6277161,-7.4351914,-4.0472484,2.2250781,-1.5043657,-10.566156,-7.2730204,-0.055115404,-4.6267185,-3.4931946,-6.0263016,-1.0531426,7.6440093,2.0988884,-4.0828135,-3.6737244,5.7534901,2.3980999,1.8406469,4.3977743,5.1650884,4.3909482,6.1202433,4.6191711,-4.3209453
5.6040595,4.8725578,2.1561128,5.4545488,0.63658938,0.92984547,-0.38966256,-5.9088669,-6.4194555,-5.9729593,-0.87037244,-3.4787605,-8.4799697,-8.7970962,-2.4334392,-6.7144308,-6.3117057,-6.6115605,-1.0744199,5.8914547,3.034683,-2.5382531,-2.4487126,6.4823629,2.4742777,4.2046241,5.1687002,5.3859891,4.8717988,6.5556549,6.3877333,-1.6613167
4.9612307,4.6456769,2.9865085,4.7568842,0.96468926,1.2445945,-0.76641969,-7.0097541,-4.6419537,-6.4873265,-2.0265692,-3.6488178,-4.9968581,-7.354018,-1.7698063,-5.4318518,-5.6027595,-5.9486336,1.1937137,3.1930627,2.1049737,0.034615801,-1.6304436,6.0506866,1.0841241,2.8694516,3.0743117,4.5754897,3.2136838,4.4528246,6.4009575,-0.49226262
3.3341006,2.513875,2.4532869,3.5533523,0.75534684,4.1705067,0.20665537,-5.842498,-2.1755482,-4.6028549,-0.10139145,-0.76185167,-2.9952099,-5.8401423,-0.8629967,-4.8049362,-5.5419823,-5.630056,1.6442911,0.7815704,0.42313642,1.5389201,-1.6244572,3.869169,-0.24931667,1.1005297,1.2505706,3.0598211,1.2653578,3.3955496,4.9529872,0.76421325
