FP1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,PZ,PO3,O1,OZ,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,FP2,FZ,CZ
-2.6859505,-1.0049464,-2.9582648,-0.40357429,1.0659451,-1.4729036,-3.1594492,1.0937871,1.2252197,-2.0642709,-2.5682842,-0.27483256,0.88536208,-0.84913318,-0.32107603,-0.90105689,-0.8264919,2.7127453,2.4793424,1.0850343,0.097552539,2.5757743,1.1839129,0.056341386,-0.53010713,2.0238763,1.6604485,0.0076411811,0.11781057,-0.72656429,1.1031465,1.3729659
-5.7225253,0.30581773,-5.6314754,-1.0584359,1.8425077,-0.47290753,-3.6320677,-0.020913293,-0.67438733,-2.5356223,-2.3558938,-1.0667921,-2.337876,-1.1891461,0.98634702,3.5657021,9.6054186,1.2152969,1.3594882,1.3775072,-0.087036604,-0.49675725,1.501122,0.94989413,-3.5576479,1.4700876,3.3236464,-0.9843898,2.7929053,2.900757,-0.48247391,-0.89015557
-1.6185095,5.8807775,-3.6416677,3.3333431,4.0137081,2.3791224,-5.5696519,1.8611392,0.49445656,-1.9579981,-0.94797084,-1.3339231,-1.1875629,-2.8748036,-1.81533,-1.4343319,1.5073349,-7.5331533,-1.9195957,2.4594852,0.61680805,-2.6257232,1.771227,7.1770023,-3.7134793,2.8862641,4.8313766,-5.5672644,0.10409151,1.3157815,3.3918633,-0.28281612
-2.9442481,7.0901738,-0.63328792,7.1592731,5.6514551,5.6030817,-3.6430815,4.8588052,3.133518,0.1412187,0.29361855,2.6808393,-1.892377,-1.0590806,-2.365179,-8.9140706,-11.281075,-12.800842,-7.2615787,-3.1988164,-1.7859635,-1.1567205,2.4718743,2.0269495,-2.6033718,5.7609729,5.6274085,-2.6143636,1.6264927,1.414606,7.1698252,1.443943
-5.2538286,3.4505777,-0.34204982,2.5771544,4.4029966,1.9735579,-2.8215469,3.0251441,0.53507609,0.7217586,-0.61159166,0.85511846,-3.9059004,-1.2432706,-0.23889729,-2.7650859,-2.6091838,-7.2699324,-3.4546834,-2.3117667,-2.0211956,-1.339867,2.0330955,-2.7815502,-2.332008,4.8260629,6.4718481,1.2250792,2.1204107,2.3344452,3.8874562,0.86257779
-2.8893334,4.5253072,-2.4452032,3.6103687,4.7540774,3.17099,-3.4405732,3.1039677,2.3502647,-0.59198435,-0.77152299,1.3951618,-1.2300866,-0.81966216,-1.5574471,-4.4750335,-5.0992145,-6.8484025,-3.7166099,-1.4837386,-0.3194066,-1.1381599,2.06316,1.315585,-2.9129426,4.0206511,4.7999387,-2.2849814,0.040483724,0.81402752,4.240988,1.8193289
-6.4456525,2.0369647,-2.9211272,0.52384157,3.3880664,-0.073490857,-3.708206,2.6685944,2.7158487,0.085953926,-0.90690964,2.5944789,0.67853045,1.8077467,0.94486963,0.67184631,-0.64506171,-2.3288596,-1.3033769,-2.0386914,-0.17537528,-0.49789186,2.4360218,-3.3945947,-3.292266,3.9319946,4.0980893,-1.8726994,-1.9693655,-1.6895032,2.4745966,2.2056293
-9.7237521,0.21832754,-4.1429902,-0.53677159,2.5801938,-1.1057087,-2.0337424,1.6337035,3.5632729,0.1701758,-0.40275607,4.4979745,2.6557375,4.0602274,1.7080943,-1.1621659,-3.3834552,-0.78170568,-0.74002982,-5.7939543,0.27353279,1.1833295,3.9358249,-5.0822683,-3.468116,4.053393,3.873779,-1.0383202,-0.26131431,0.39350729,2.0345873,2.8213856
-9.9476551,0.93732734,-6.8404593,-2.6236572,1.3796932,-3.289159,-3.6664274,-1.2561443,1.8074282,-1.0834818,0.65744372,2.4374161,4.0358113,3.7874253,3.8370166,2.4864261,1.5892063,1.7452705,2.9597992,-2.8052213,2.1872143,0.84542935,3.9715834,-1.4236775,-4.8155632,1.8887928,3.3912354,-2.4769645,-2.0353776,0.88819492,-0.31519676,1.7462654
-9.6338843,1.6164885,-8.5460039,-0.81906437,0.98569615,-1.9382487,-3.9946919,-1.6805898,1.7356614,-1.8971058,0.391133,1.941335,3.8234642,3.4669724,5.3123935,4.5914775,6.2586319,2.5562069,2.3740005,-1.4206675,2.1375049,0.44782732,2.6794505,-2.3676718,-5.7964021,0.89959048,1.756787,-2.5476554,-2.6501061,0.29936769,-1.0036599,1.0217519
-7.9687296,0.83300011,-6.1063157,-0.69430549,-0.42598089,-2.4817255,-4.169709,-1.9916604,0.19821624,-0.7658213,1.1247831,0.44297537,2.9549745,2.5466201,6.4324121,6.2030338,10.5028,2.4923325,3.1014244,1.8596587,1.508125,-0.45703243,-0.11017721,-4.2158031,-5.1541029,-0.16549543,1.4460513,-1.733357,-3.7968749,-0.501725,-1.0568264,0.14922562
-3.1257863,2.5470398,-2.3770378,1.3537832,-0.075441026,-0.76423235,-1.6179875,-1.2765157,0.27824183,0.94960524,4.2145086,0.90688976,1.961517,2.2483336,5.9662795,-1.2129683,-1.4538158,-3.1473077,0.65519177,1.1147284,0.26485586,-1.1117166,-1.4270591,-1.5502999,-3.0087447,0.065155434,2.2871408,-1.2787578,-2.6761186,0.56894895,0.44558761,0.27597408
-2.7189834,4.2305881,-1.6443197,3.2504606,1.2090466,1.0617986,-0.40129899,-0.76686712,1.7455923,1.4562035,5.3951017,3.2731095,1.1793041,3.7495513,5.3118364,-3.8195839,-7.2742053,-4.8096984,-1.3653564,-1.2733399,-0.31743085,-1.7821552,-2.5463262,-0.11057186,-2.513338,0.3949313,1.9032916,-2.3741034,-2.0271605,0.83614234,0.59895057,0.14882064
-3.051924,2.1658704,-3.7958008,2.2564496,1.2828423,0.15343907,-1.4325215,-1.4092876,1.9384682,0.86789998,5.0942899,3.0986917,1.5949015,4.5770657,6.0810496,1.5821816,0.38592163,-1.7099678,0.36287824,-0.72528513,0.19773332,-3.4603309,-4.2010914,1.1060331,-3.3650066,-0.88904265,1.4519299,-6.7919447,-2.8363273,1.2456018,-1.1830374,-0.59168946
-2.7621467,0.45795485,-6.4310067,2.2515676,1.4598757,1.4035515,-0.90549162,-0.50985836,3.2537061,0.89664574,6.050252,4.8330704,2.1023974,6.3792812,7.2219163,1.2812,0.53797312,-0.82383752,-0.53168457,-1.9663319,0.52399982,-3.4269315,-4.2213812,1.0829851,-4.0297833,-1.2377887,0.85554047,-10.4406,-2.7480633,1.3083211,-0.97167584,-0.89367244
-2.4815423,-0.31032498,-9.4359099,1.4081793,2.0697519,0.45088175,-0.6396273,-0.010879959,4.3826387,1.1036786,6.2102289,5.8254598,3.5086936,7.5763393,9.1116052,2.2672801,0.31024698,0.87387736,0.90646046,-2.5883484,2.0980201,-2.0748788,-2.9672204,0.4927414,-4.5329269,-0.87486259,-0.10345365,-12.933764,-5.0696511,-2.2158635,-1.981872,-0.37497567
-2.3383506,-0.21200258,-10.15668,1.8815826,2.5520303,-0.8269874,-4.6613521,-0.34575917,4.7484167,-0.79795307,3.7564367,5.0296624,4.3376502,6.3036494,7.5249476,3.439596,1.783118,3.131696,2.1863817,0.13734965,3.49834,-0.12554739,-1.779738,1.6136343,-4.8748843,-0.014862986,-0.49791325,-12.545283,-7.3288933,-5.8753,-0.61418162,1.0711844
-3.0897825,-1.6434389,-8.7381472,1.2806997,2.0807009,-1.7751613,-6.0198935,-0.26808311,3.4367009,-1.7296388,2.0866218,3.7457399,2.7380259,4.9073449,6.9857581,4.0669907,4.0667931,3.3708013,1.9834957,2.2918372,1.1648953,0.40982184,-1.105203,-0.11912962,-5.0310034,0.93899934,0.83025552,-9.2861305,-5.6793587,-4.4680476,1.0666596,1.5008709
-3.9071702,-2.1291766,-9.3122782,-0.24932575,1.7938145,-2.8747223,-5.8122533,0.59155236,2.6863364,-0.87287334,1.9234165,2.58996,2.522892,4.0924403,6.5352711,3.5995127,5.0564025,2.600117,2.7291701,4.0529792,0.46751585,0.30037679,-0.13697602,-0.32589543,-5.5673529,1.7041162,1.8914896,-8.8634188,-3.8489473,-4.9585515,1.8805941,1.8409801
-3.1549143,-1.5407297,-10.175244,-0.49447235,2.1152258,-3.1108557,-4.4083892,1.2668468,2.6604673,-0.33738146,1.1508127,1.3519156,2.3356888,2.5544001,5.6531873,2.1001388,4.5266204,1.4313807,2.5014789,4.7548698,0.73212656,0.513548,-0.097431496,-0.047060299,-5.7624691,2.5663913,2.7025856,-8.7333757,-3.1738144,-5.3550968,2.4813582,2.9921857
-1.5743327,-0.27708045,-8.9734415,0.16526064,2.0759663,-2.1220323,-4.1778553,1.0263002,1.7047807,-0.92980757,0.69351084,-0.015987028,0.55011602,0.79131639,5.0224362,0.38328525,3.1703374,-0.76445253,0.45486967,4.867485,0.34161356,0.10347413,-0.071354466,0.42008562,-4.5770629,3.3890171,4.0805854,-6.8072986,-1.0883798,-4.2823651,3.5405451,2.8804571
-1.2162115,1.8087284,-7.5036248,2.4172151,3.4065271,0.68319636,-1.0109295,2.0432944,2.1392529,0.44994686,1.3459088,0.33493573,-0.27552717,-0.044740908,4.2990959,-3.7568592,-2.4735734,-5.2367024,-3.1400711,1.1571375,-1.3763052,-0.16638444,-0.41534473,-1.0527661,-3.1715232,4.2228369,4.8342323,-5.9505325,1.1960498,-1.3615122,5.3262765,2.487961
-0.92802867,2.6497257,-5.4857992,2.900115,3.6231639,1.4183814,0.11447427,2.1040635,1.8715321,1.0898405,2.4552584,0.33645693,-0.60951946,0.21483176,5.2016313,-3.8187448,-5.937594,-7.0299988,-4.6863664,-2.2171219,-2.4245233,-0.65155619,-1.4722382,-2.7468824,-2.0438941,4.4108501,4.8338404,-4.7302692,1.9634701,0.38405785,6.8079414,2.402889
