FP1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,PZ,PO3,O1,OZ,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,FP2,FZ,CZ
1.9005,0.3467,-5.8934,-2.6234,-2.4623,-4.5768,-3.7636,-0.9754,0.4476,-0.6693,3.1605,3.2027,4.8945,3.2773,2.5283,-6.0413,-8.1718,-5.1077,-2.3447,-4.8257,-3.244,1.9222,0.0098,-0.5524,1.3952,2.1708,4.0434,7.3772,4.1976,4.6445,1.6537,4.0794
0.5945,-1.4775,-11.3543,-5.9466,-3.1916,-8.5871,-7.8328,-3.8688,0.6463,-4.2364,-0.666,0.7701,5.9655,0.6448,0.3748,-3.605,-5.1627,0.7157,1.0747,-0.5603,-0.6252,2.2341,0.7635,2.1683,4.7779,2.9421,5.0269,10.2711,6.5267,6.7166,1.8297,3.0709
0.4615,-1.9641,-14.5481,-7.8263,-3.4292,-10.9545,-10.4892,-6.4474,0.4488,-7.3218,-3.0342,-1.2858,5.3159,0.3873,-0.2447,0.0134,-1.539,2.832,1.5911,1.5934,-0.3258,1.0556,-0.7337,3.8036,6.7619,3.1451,6.3578,13.7146,8.8969,8.7964,3.3256,1.6433
-2.213,-3.3627,-16.3578,-6.1366,-3.3032,-11.5855,-11.1836,-7.2822,-0.2683,-9.5387,-3.1129,-1.3716,5.2941,2.6203,2.2739,3.3959,2.8337,4.9533,0.645,2.2528,-1.4387,-0.6103,-3.0319,3.8166,6.9162,2.8278,7.782,16.4828,7.9894,6.6181,3.112,0.9832
-4.4217,-5.8065,-22.002,-7.0646,-3.4424,-14.665,-13.4761,-9.0281,-0.8796,-12.2943,-4.4303,-0.8378,7.205,3.5998,3.8138,6.4889,7.864,8.6555,2.6764,4.0761,-1.0232,0.1459,-3.0316,4.1943,7.3312,2.7469,7.636,19.2541,7.3042,6.5329,1.7823,1.096
-4.4955,-7.0036,-27.255,-8.2343,-3.5479,-17.8668,-17.0063,-9.6959,-0.8043,-15.1572,-7.0549,-0.9079,8.7699,3.9733,4.2516,8.6606,12.4958,13.1923,5.5962,4.985,-0.7935,1.8462,-2.2363,2.8348,6.1084,3.1315,6.7336,19.88,7.3348,7.9363,2.005,2.3242
-5.958,-8.8923,-31.4906,-11.2563,-3.8353,-19.8524,-18.9598,-9.0911,-0.2185,-15.2962,-7.6931,0.2616,9.8345,5.023,5.0055,8.313,14.6897,15.7686,7.8222,4.4414,0.538,4.0627,-1.1241,1.8713,4.4602,3.1329,7.2704,20.1523,7.113,8.4142,2.4773,3.0159
-6.8876,-10.285,-33.255,-13.208,-4.6691,-20.126,-19.5762,-7.7074,0.4134,-13.189,-6.9015,1.2368,9.9849,5.7904,5.8466,7.239,14.6015,14.7337,8.341,4.0439,1.1646,5.0116,0.0428,2.2495,4.5567,2.3451,7.8686,20.9277,7.0936,9.2391,1.3608,1.7136
-5.9366,-8.9338,-30.0503,-11.8133,-4.5329,-17.9855,-17.8129,-5.5805,1.1528,-10.6323,-5.2196,2.3535,9.6392,6.6749,6.4432,7.1932,13.4068,10.6641,6.0397,2.5254,-0.4127,3.8084,-1.4015,0.7643,3.798,1.7713,8.816,18.2701,6.6739,8.2811,1.409,0.6271
-4.2372,-5.6307,-24.3257,-6.9589,-2.1817,-13.6325,-15.4867,-2.7151,2.5273,-7.1522,-4.0037,2.6056,9.5523,5.6703,5.2271,5.5958,10.311,7.5833,2.9103,-0.7296,-2.6922,2.6241,-3.3473,-1.9418,1.488,1.4083,8.0559,13.7755,5.7195,6.0362,2.9639,0.9806
-0.498,-1.579,-18.8657,-2.859,-0.1949,-9.7696,-13.3096,-0.7889,2.7726,-4.8028,-3.5556,1.824,8.5061,2.569,2.5123,1.6131,5.1881,3.5874,0.591,-3.8601,-3.4493,1.8105,-3.5832,-3.3899,0.1601,1.7957,7.0172,11.4363,6.3516,6.7451,4.8963,1.1292
4.697,2.9777,-14.0118,1.0166,1.9239,-6.0703,-10.3517,0.295,1.3305,-2.7,-2.4763,1.5413,5.3456,-0.2625,-0.1784,-2.8705,0.1532,-3.5284,-1.9958,-7.5312,-4.2303,-0.1702,-3.2922,-4.8507,-0.6911,3.2669,7.439,10.6539,8.0896,9.6014,7.2241,-0.3446
9.3666,6.4985,-10.526,3.9879,4.2801,-3.4084,-8.7772,1.3468,0.1499,-1.7117,-2.4073,0.1657,0.6897,-2.8922,-2.6398,-7.052,-4.4636,-11.4286,-4.7023,-10.0737,-5.1181,-2.1578,-1.7918,-5.1532,0.3005,5.8458,8.7021,11.2068,10.4526,13.2316,9.2124,-1.1334
10.8587,7.4452,-11.0272,4.0905,4.939,-3.3693,-9.1242,1.8143,-0.4672,-1.7407,-3.1117,-1.0879,-2.5618,-4.9593,-4.9395,-9.7364,-8.6696,-16.9843,-7.2092,-10.9867,-5.939,-3.2257,-0.2888,-2.9229,3.9117,7.6931,12.2684,15.393,14.0173,17.2301,10.3675,-1.6771
9.3921,7.1678,-9.3174,3.8668,3.9196,-2.6267,-7.3228,1.3612,-1.9824,-1.0489,-1.7998,-1.966,-5.0007,-5.285,-5.2265,-9.8821,-10.4364,-16.7944,-8.0143,-9.368,-6.2854,-4.6607,-1.7038,-0.2796,5.9968,6.928,13.8446,17.418,14.8489,16.774,10.0027,-2.5195
8.6184,7.4118,-7.9967,4.1877,2.7191,-2.633,-6.1696,0.6099,-3.0142,-1.2671,-0.8272,-2.2733,-7.0647,-5.7988,-4.9667,-9.6719,-10.5896,-15.2874,-8.0776,-6.9581,-6.7738,-4.8708,-3.5225,0.6397,6.3582,6.9079,13.3882,16.7873,15.1541,15.9036,10.7398,-1.6625
7.4733,7.8234,-5.8542,6.2615,3.3576,-1.7409,-5.8381,0.7539,-1.7298,-1.8329,-0.8344,-1.5883,-6.6283,-4.5727,-4.044,-9.3117,-10.2915,-13.6758,-8.4829,-6.243,-7.2937,-4.4301,-4.7557,-0.8036,5.2554,7.09,12.0981,13.0038,13.461,12.4015,11.2081,-0.2361
4.5164,7.0334,-5.3484,6.5304,3.4849,-1.6283,-5.4007,1.0602,-0.9088,-1.8075,0.2344,0.318,-5.8905,-1.4346,-1.3954,-8.8721,-9.177,-10.9236,-7.218,-3.6392,-6.9,-4.0659,-5.4373,-0.9454,4.2777,5.2508,9.752,8.9142,10.9984,8.5361,10.386,-0.3003
-0.6608,1.608,-11.2141,0.1124,0.886,-5.3123,-6.8254,0.3981,1.272,-1.042,1.9484,2.9924,-3.2234,1.8144,2.252,-6.368,-5.7669,-8.6266,-4.0994,0.84,-3.8492,-2.3113,-3.2068,2.2032,5.6334,2.685,7.2737,9.1574,8.6668,6.7986,6.3639,-0.3997
-3.7519,-4.1227,-15.4299,-6.4019,-1.9734,-8.127,-7.9341,0.4144,4.578,-0.2747,3.0116,5.6372,-0.0758,5.2745,3.5455,-3.4101,-3.3655,-5.4036,-0.0527,2.091,-0.6852,0.3163,-0.5039,3.6758,5.6162,0.4754,3.9237,11.245,5.6099,5.5584,1.0853,-0.5459
-6.0843,-8.7348,-20.6788,-11.6205,-5.5928,-11.4399,-10.077,0.5168,6.6181,-0.863,2.3921,7.1401,2.5121,6.9021,3.796,-1.2351,-1.2134,-1.0278,3.22,2.6987,1.9082,2.8491,2.0879,5.1411,5.7964,-1.4125,3.1212,15.2034,4.6717,6.3341,-2.594,-0.3352
-8.3633,-12.2175,-25.309,-15.9046,-6.4284,-14.1589,-11.9036,1.1168,7.8767,-0.7676,1.9203,8.2249,4.8217,6.8267,4.3103,0.59,1.557,1.4525,4.9399,4.5048,4.2082,5.4654,4.5114,6.2712,6.1365,-1.5253,1.5303,14.773,3.27,5.8243,-5.0854,1.5318
-6.7304,-10.593,-21.5895,-14.703,-5.061,-12.3068,-10.5389,2.4891,7.7238,-0.1184,2.3051,7.4782,4.2401,5.8821,3.2112,-0.0756,-0.491,-0.5582,3.2411,3.4449,3.5817,4.918,4.0313,5.6148,5.8405,-0.7409,1.0049,12.5009,2.9955,5.0403,-4.4151,2.3782
-3.6457,-7.2849,-17.0676,-10.9366,-3.8649,-9.667,-10.2324,3.4462,6.012,-0.457,1.4407,4.5532,2.6332,4.5591,2.4643,-1.4603,-2.132,-2.0177,0.5273,1.2308,1.805,2.8466,3.3068,4.5347,5.457,0.1784,2.0071,12.2281,4.315,6.078,-2.3259,1.4686
-5.5952,-8.6474,-21.3672,-11.158,-2.8289,-11.4472,-13.2753,4.1855,6.0503,-1.4245,-0.6712,3.1924,3.1873,3.0281,1.6627,-1.0937,-0.3608,1.244,1.688,1.9367,1.7664,3.4003,3.7042,5.0981,6.6164,0.902,3.6945,14.5837,5.237,6.6815,-1.7938,1.8044
-6.2088,-8.464,-24.9716,-9.3856,-2.0745,-12.8815,-15.6551,2.7922,4.876,-3.3124,-3.7374,1.1495,3.6863,0.682,-0.687,1.2016,2.607,6.9263,3.5396,2.483,0.8892,2.4527,2.2978,5.0064,7.189,0.9571,5.8576,17.662,6.9859,8.0118,-0.6418,0.7669
-6.8361,-8.229,-25.433,-8.0697,-2.9827,-13.3419,-15.1309,0.729,3.5254,-4.4755,-4.3,1.4318,4.2375,1.3841,-0.5217,4.197,5.7858,10.1459,5.0379,3.7279,0.4738,2.0319,0.9262,4.5023,6.2395,-0.6386,6.1632,17.0272,6.5024,7.1613,-0.9489,-0.3222
-9.1531,-10.6086,-27.3252,-10.6791,-5.3788,-14.67,-15.1356,-1.5798,4.0538,-4.0908,-2.3929,2.86,5.0143,4.342,3.022,5.1831,7.406,8.8597,5.7818,6.0973,1.1319,3.1994,0.7063,6.7003,7.3824,-2.5914,4.8693,19.0972,5.6797,6.8649,-3.055,-1.5909
-11.2861,-12.1511,-26.3898,-11.7614,-7.5491,-14.8598,-13.8439,-3.3866,3.5209,-3.5265,0.6631,4.4127,5.9172,7.9806,7.5342,8.2157,10.4682,10.0618,4.9176,8.9812,1.2785,2.254,-0.4013,7.7355,7.2476,-4.1167,1.6067,17.4191,3.3872,4.0024,-5.2339,-3.0982
-10.9303,-11.6999,-23.053,-11.111,-8.9283,-14.2031,-11.8073,-4.0723,2.6679,-4.3165,1.4187,4.8863,6.0445,8.462,8.3055,10.7267,12.9673,12.7785,5.5351,10.9242,2.6625,1.2212,-1.1736,6.5589,5.6078,-4.5832,-0.2338,12.7289,1.2789,1.0093,-6.1447,-3.5272
-10.085,-10.2747,-17.8919,-6.9932,-9.5223,-11.5966,-9.4884,-4.4699,2.1832,-5.0236,0.9241,4.7787,6.1821,8.6393,8.3122,11.9379,15.7366,16.1402,7.5324,10.4258,3.6466,1.6733,-2.4697,2.9157,1.4737,-5.6079,-1.2117,7.445,-1.9979,-3.1986,-6.5827,-3.5326
-6.6077,-6.9158,-13.7942,-2.8527,-8.9184,-8.8176,-8.0202,-4.3664,0.6588,-5.0506,0.586,3.2513,5.4691,7.3658,7.3798,9.4746,13.6759,15.1748,7.3206,7.505,2.6047,0.3442,-3.4433,1.0312,-0.5107,-6.059,-0.9952,7.7954,-1.5433,-2.0058,-5.2724,-4.464
-4.8244,-4.8533,-12.3216,-2.837,-7.8572,-7.978,-7.7176,-4.8565,-1.5854,-5.6035,0.0787,0.7096,3.1392,5.4175,6.0118,5.692,9.3786,12.0964,6.0156,7.1602,2.6022,-0.5357,-2.6483,3.6458,1.7461,-5.5758,0.5373,10.6383,1.3927,1.2969,-3.3043,-5.0604
-3.3469,-5.0019,-11.9682,-5.4446,-7.0834,-8.1737,-8.3723,-4.3721,-1.8875,-5.756,-0.8496,-1.2579,2.3144,3.0861,3.8693,3.7582,6.13,9.4214,4.7395,7.2282,4.0329,1.0735,0.2531,6.5508,4.2771,-4.3709,-0.4909,12.3448,2.7912,3.8508,-3.7232,-3.6222
-2.026,-4.4606,-13.0936,-4.4145,-5.5911,-8.1922,-9.5348,-3.6236,-1.0451,-6.4412,-2.655,-2.2508,2.6141,0.3335,1.3545,1.8625,3.2949,6.272,3.3277,5.4466,3.4676,2.307,0.9163,7.357,6.1339,-3.1488,0.7318,15.922,4.4254,6.1766,-3.4304,-2.0357
-1.1942,-4.0497,-13.6327,-3.5612,-4.8975,-7.5972,-8.7213,-2.2332,-0.7513,-5.5722,-1.8309,-1.7263,1.5741,-1.1836,-0.0142,-0.466,0.2187,3.4197,2.4755,3.3157,2.4391,1.9083,-0.3513,7.5295,6.5713,-2.7048,1.9227,20.0251,5.5529,7.8695,-2.9481,-1.3864
-1.3845,-5.1741,-14.2664,-4.904,-4.8109,-7.298,-8.1624,-0.7148,1.6466,-2.9685,-0.1618,-0.6013,1.261,-2.0906,-1.2088,-1.5611,-2.4656,1.6909,2.1232,2.034,1.7455,2.0822,-2.0308,7.7814,7.2056,-2.2681,1.464,23.0586,5.81,8.3792,-3.6235,-0.5868
-2.3792,-5.8992,-12.406,-5.2451,-5.3132,-5.8096,-6.8261,1.54,4.3506,-0.0537,2.112,1.291,2.3409,-1.3318,-0.1248,-1.0095,-3.5364,-0.1878,0.5106,2.7949,1.9908,1.8919,-3.6717,8.445,7.4308,-4.3037,-1.2208,21.5958,4.0167,6.0996,-5.9751,-1.1167
-4.2142,-7.1131,-13.5651,-7.3389,-7.2485,-6.1233,-5.8031,2.1447,4.908,2.1278,4.6297,3.0973,2.3559,-0.9324,1.534,-2.0964,-4.7232,-2.6994,-0.7955,3.712,3.3566,0.9814,-3.0464,10.5314,8.5634,-5.5667,-0.4752,22.4778,4.3366,6.1823,-6.7527,-2.4447
-5.5999,-8.1917,-18.1276,-9.0308,-7.4468,-8.2889,-6.0663,0.9309,4.4478,2.5347,5.4009,4.3857,2.0026,-1.1622,1.1346,-2.6619,-5.7337,-5.1598,-1.066,3.5045,3.2404,-0.2289,-1.1303,12.2155,10.5648,-4.7394,2.5378,25.8119,6.3894,8.5696,-6.0052,-3.0316
-2.9744,-7.2423,-20.9118,-10.086,-6.7322,-9.7792,-6.7287,0.4592,3.1223,2.8962,5.2621,4.5025,1.2199,-1.4173,0.0061,-2.0945,-6.0902,-7.6588,-1.8571,1.6198,1.0966,-2.2985,0.3297,11.6298,11.1523,-2.9294,4.1752,27.6354,8.9763,13.0707,-4.8559,-3.4977
-0.1319,-5.3171,-21.0894,-9.6378,-5.8538,-9.956,-6.5417,0.3399,1.1924,3.2672,5.4613,4.8255,-0.2193,-1.1769,-0.8952,-2.8135,-7.5162,-10.1854,-3.3435,-0.5896,-1.174,-3.7054,1.607,10.2537,10.9702,-0.7851,5.4895,27.3635,11.0529,16.2932,-3.0912,-4.0932
1.0801,-2.969,-17.7309,-8.0104,-4.6457,-8.4935,-5.5096,-0.9282,-0.7556,2.8151,5.4214,3.8453,-1.8047,-0.6726,-1.0287,-3.6986,-8.966,-11.8848,-5.4031,-1.0557,-2.0054,-5.3848,1.803,9.8902,11.5131,0.8208,7.117,24.8298,12.1842,16.1737,-0.9592,-5.587
