FP1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,PZ,PO3,O1,OZ,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,FP2,FZ,CZ
-0.93019537,-0.60409658,-0.76342693,-3.9143519,-2.4479506,-0.84197416,-0.059014224,-2.1789785,-1.1720847,-0.092137843,1.6297201,0.20382569,-0.71884295,1.6540103,2.2456382,1.1287278,1.3616444,0.477013,0.15793709,1.9260388,0.62757221,-1.4593275,0.25837441,2.8503068,2.2283941,-2.3449072,1.5148926,3.0442455,0.61648209,0.63718565,-2.2661465,-2.7685812
-0.90944841,0.42343237,-0.012486099,-4.933457,-3.1577858,-0.86977131,-0.57884065,-3.809573,-2.2978355,-1.2699595,0.90224665,-0.86210571,-0.48096986,1.1089306,1.2076304,0.71841309,1.6418634,2.1421321,0.31058777,1.4216306,1.9803283,-1.4884998,0.55619872,4.3112379,3.3002592,-2.1742662,2.5371111,4.0650639,1.8406349,1.1420616,-1.7125664,-5.0522057
-3.6928781,-1.2261063,-4.1378082,-8.0422903,-4.0553168,-3.8607767,-2.2492012,-4.9807829,-2.798086,-1.6523639,-0.026789915,-0.15216407,1.9328361,2.9064919,3.8707563,7.9027543,5.6184013,7.5675592,2.4183146,2.2561691,2.6697131,-1.010001,0.82962155,3.5464293,2.9163717,-3.3713355,0.95388617,3.4307943,1.7187401,-0.12658882,-2.6750029,-6.4813456
-5.9979968,-3.5061319,-8.0584669,-9.2378379,-4.3385647,-6.3165647,-4.4973293,-5.2454971,-2.3648162,-2.2756513,-0.51713916,0.48883983,3.3153806,3.1108878,2.990125,10.35775,6.555655,9.5695033,4.177877,4.3780784,3.6728455,0.080406676,2.1795679,4.212233,3.2327045,-3.0441631,0.55557549,3.8526721,1.9266101,-0.50464076,-3.3194084,-5.4324969
-5.8898839,-0.90103663,-7.3111023,-6.4581841,-2.7377597,-5.1880497,-4.7777494,-3.8733904,-2.0895372,-2.3998969,-1.3327814,-0.21887921,1.6082631,0.52441788,-1.1240195,5.9908281,3.4840357,5.575546,3.2989933,6.3917947,4.6633812,0.54964345,2.7364419,4.8689228,4.0845493,-1.5875977,2.0984674,4.3393058,2.4045082,0.15548146,-2.4954696,-4.3892401
-6.8891521,3.7019097,-5.5225801,-3.6629905,-1.8965205,-3.3997172,-4.1658616,-3.4472167,-2.0645888,-2.3905771,-0.95045377,-0.85272769,0.074456392,-0.38327976,-2.1896941,3.3546031,1.4614461,1.9868905,1.7249607,6.0116926,4.3199914,0.2391698,1.7871736,4.6511839,4.9059255,-1.8881927,3.1464228,5.5579977,2.0916038,1.1104535,-2.2792288,-4.1431043
-7.4224496,-2.2196577,-9.5532778,-6.2614129,-2.5222084,-6.243263,-5.4377681,-3.2313927,-0.98776672,-2.3596367,0.198258,1.0210137,1.9478327,2.2308378,-0.68187924,5.4890102,3.1430293,3.8483925,3.3643575,6.6430668,4.7035477,1.0218496,1.8135856,5.0591541,4.5631578,-2.6041928,3.0297512,5.9270778,2.1584275,0.56810221,-3.7891988,-3.416352
-8.898006,-7.0766317,-15.62706,-9.7285673,-2.5707444,-10.327519,-7.6211701,-2.1789936,0.78993946,-1.4449565,2.7752554,3.9640691,4.7989531,5.2695529,1.9477201,8.1629335,5.5501475,7.7676552,5.4798321,6.7326881,4.6484762,2.4736039,2.6820304,4.4495604,3.0986122,-2.6394896,1.2552398,3.4608486,1.1856859,-1.9917403,-4.799884,-1.5880402
-7.2901612,-5.87192,-11.594707,-10.609079,-2.6004173,-7.6944593,-4.2065511,-2.0221601,0.5209881,0.38487271,4.3633882,4.4790027,4.190945,5.6604091,3.6189009,7.8772183,5.6923417,7.2966314,4.3116266,4.0283415,2.6179562,1.8075629,0.95530655,2.8222981,1.854786,-3.0151761,-0.28546368,2.3042056,0.8057045,-2.3433669,-5.5263931,-2.5326331
-5.1303024,-2.3108482,-4.4905406,-9.1789041,-3.0530543,-2.8442289,-0.95887843,-2.2668854,0.19118618,1.2659179,3.6899021,3.3694929,2.4006598,3.8068529,1.3993782,3.0036811,2.4040216,3.3428528,1.7628901,1.8887391,1.1307096,1.2286535,0.26993603,2.7430734,2.3946324,-2.641823,0.90033297,3.2954196,1.6279975,-0.85746843,-4.9241874,-3.4592162
