FP1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,PZ,PO3,O1,OZ,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,FP2,FZ,CZ
-2.6623403,-1.3509139,0.55870291,-1.1515784,-0.92154851,-0.099261392,-0.57122463,-2.2470185,-1.0303426,-1.6721901,0.65004207,-0.053338077,-1.2285473,-0.1505443,-1.2810872,-2.5960202,-1.8387135,0.29657887,2.5470734,2.1217258,3.3453937,1.3471914,1.7555124,3.0983766,2.2167456,0.86925373,1.2085201,1.8056462,0.24153513,-2.1041546,-0.54351691,-0.55995837
-2.6843453,-1.2131616,1.5364094,-1.2008939,-1.3291272,-0.13684506,-1.1196545,-3.6456345,-1.754958,-2.5604721,1.5417592,0.45257449,-2.1630116,1.0369148,1.1683783,-1.7074759,-2.210668,-0.55274673,1.284318,3.0239711,3.4613123,0.67009347,0.77308976,3.8853694,2.6799665,0.76842634,1.4272742,2.3966527,0.28866938,-2.1542438,-0.53132161,-1.4306207
-2.5320916,-1.4574786,1.7428144,-1.7603964,-2.1469309,1.2538888,5.3899717,-1.3001407,-1.5116091,3.2957454,2.9440639,1.3257137,-3.4825218,2.2818269,2.4121032,-2.3743691,-5.3855801,-4.9536424,-1.4842988,2.4926065,2.2121641,-1.1452094,-0.79586238,4.1015538,1.6992418,-0.31609039,0.9778447,2.611634,1.2935668,-1.5089561,-1.3045179,-2.5750488
-3.0989322,-1.6694103,2.5303878,-1.6941919,-2.380834,1.6934966,5.5925298,-1.1183657,-1.1549702,3.1581583,2.5456638,1.2090372,-3.8241757,2.547305,2.7848606,-2.5748999,-7.6671254,-6.7429046,-1.8906503,0.75123252,2.2920666,-1.4295648,-0.9875853,4.8866007,2.4112034,-0.014148703,1.8824434,4.1374039,2.2587205,-1.2553122,-1.0299209,-2.1481241
-4.4400784,-2.0742642,1.6037775,-1.6258928,-1.8066619,0.20954251,1.4401303,-2.7571173,-0.17825721,0.12006951,1.3775678,1.3530841,-2.32466,2.0336828,2.1026308,-2.2381529,-8.0743369,-4.0397796,0.68687672,-0.035942401,3.6336294,0.96784713,0.54274208,4.5038891,2.6481313,1.551335,2.5587948,3.4702233,1.3380038,-2.5214165,-0.02072346,-0.0046821263
-3.8223543,-2.2428358,0.46077011,-1.9928001,-1.6350507,-1.0319654,-1.7547531,-2.3537398,1.5444301,-1.8027272,-0.11044229,0.63079605,-0.28667397,0.94538875,0.0089008858,-3.22932,-7.3954089,-1.0642834,3.2717281,0.54065636,4.5693086,3.0877771,1.640705,3.6247984,2.0169471,1.8868538,1.9885139,2.0903737,0.55898644,-2.023916,0.140291,1.7390408
-3.0295319,-1.827475,0.42882093,-1.4062711,-1.2716812,0.71478562,2.1715741,1.0676965,2.6939633,1.6325041,-0.15473756,-0.04896956,0.21736465,-1.6349772,-4.3924702,-6.8766227,-9.1964477,-2.6503486,2.2271553,-1.6430737,3.7529585,2.4631888,0.69552968,3.6339733,2.4041769,1.0437144,2.5826207,3.7859343,1.5640017,-1.4315538,0.043649572,2.4405422
-2.4880407,-0.9189329,1.1344371,0.32416091,1.0553916,1.7295996,1.6408832,2.4970915,3.8975362,0.80848274,-0.73358701,-0.90004962,0.78535685,-3.6675987,-7.5038745,-9.300823,-10.762796,-5.0722356,1.596842,-2.5336535,2.7021171,2.3345333,0.32765143,3.0634269,2.6312069,2.2465266,3.0666533,4.2120063,2.666833,-0.58518799,1.802691,3.9433478
-2.3756446,0.075364024,1.4910109,2.3287435,4.0084584,2.928279,1.9068898,3.8067916,5.0152669,0.94849057,-0.69880153,-1.3557369,0.29440316,-5.3593145,-8.9949446,-11.235853,-12.558974,-8.1004548,-0.014820872,-3.3510423,1.5359241,2.4873585,0.13145326,2.1581885,2.5012843,3.5960411,3.2985329,3.7552958,3.029879,-0.63877515,3.9268699,5.4598336
-3.6272673,-0.089114127,1.1985406,3.1625063,5.2072649,3.7000697,0.30884343,6.1991522,5.8492401,0.72216967,-3.2234036,-1.0873134,-0.2328658,-5.6137556,-8.9175488,-10.986218,-11.494085,-7.4365215,0.081646451,-4.9301094,1.9085019,2.748814,0.67220055,2.0278855,3.0460044,3.4557327,3.3831298,3.9274594,2.1860983,-1.9349974,4.0693161,5.7186238
