FP1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,PZ,PO3,O1,OZ,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,FP2,FZ,CZ
-2.2337788,-0.89208041,-1.2044364,-0.50850689,-0.17960295,-0.81617439,-2.1452883,-0.36914642,0.08490542,-1.2683202,-1.7171152,-0.30282873,-0.93531029,0.91644545,0.78934553,-0.057801999,0.81376399,-1.4100342,-0.17457549,-0.66109198,-0.14277978,1.6890603,0.97418812,0.82056539,2.094897,1.8908081,3.17444,2.3312036,1.2553361,-3.1440577,0.37354321,0.9544301
-0.33551236,-0.35959031,-3.5231098,-0.65381386,0.8652064,-1.5598236,-4.4692999,0.4798667,-0.27465325,-3.1459286,-8.2647796,-3.5727334,-1.5583297,-5.3905238,-7.8385002,-2.5491921,6.6417777,-5.9604698,-1.2434318,0.92399687,0.46924678,2.0429419,3.4992228,4.3958113,5.7617299,4.3696824,6.6395901,6.746947,4.8807181,-0.13961221,1.8153877,1.3071724
-1.2733832,0.20953421,-2.0978573,2.0422575,2.4521154,0.1755813,-4.1601181,1.5190027,1.9600105,-2.615897,-5.7964329,-2.5149865,-2.273226,-5.0102328,-6.2363138,-5.5464838,3.4696203,-10.473675,-1.4935987,0.54283751,-0.87271029,2.8576628,4.1444841,3.4472792,4.8272779,5.324798,4.5510021,6.9888927,3.404295,-1.8194378,1.8435224,2.4241691
-8.6530007,-0.068104563,0.4662429,4.6985898,4.0341347,3.0022817,-2.8548752,2.5128591,2.8061671,-1.8218851,-5.3333869,-3.1451706,-2.2156168,-4.887077,-7.6714064,-8.2032153,1.231351,-13.346849,-1.9345564,-3.4821255,-1.1900607,3.9214315,7.1333183,4.9643216,8.3427023,7.4374118,6.1238006,11.216267,3.0262637,-13.024874,2.8489742,4.0660734
-7.6763247,-0.52434044,-4.1381813,3.2292395,4.0865192,1.0361252,-5.3955787,2.8571015,1.9450182,-3.2171214,-12.732437,-5.1967191,-0.12399698,-7.7083814,-11.923039,-9.6657028,-0.80387832,-11.571837,-0.99801474,-2.7171973,2.4727112,5.0367219,8.3377608,8.0993862,10.848776,10.457474,9.3776522,9.3942733,6.059344,-9.9529781,5.4770884,5.6305122
-1.2520667,-1.3374766,-4.3223887,3.2152969,4.6576777,-0.35753056,-8.9533077,2.971131,2.5249378,-5.8767179,-13.290866,-4.9612169,1.9649722,-8.294029,-11.887805,-9.4130438,-1.4140883,-7.4944829,0.78345147,-0.36920678,5.1808175,6.6380661,10.600526,5.5555858,6.434021,11.549271,6.1750653,-1.3145037,2.4214386,-2.5422935,5.3795005,7.0292298
-6.6734475,-1.8388048,-2.0771915,2.269148,5.868032,1.1085162,-6.2558467,3.4112709,3.1429436,-3.8850734,-11.66213,-3.4055638,2.1274343,-5.6759419,-9.1630587,-7.8396423,-1.2214485,-6.3610506,-0.46545408,-0.078062309,2.5125619,6.3305734,6.0745893,5.5253695,6.559187,11.031522,6.7460023,1.821803,2.4110251,-12.607549,4.5062105,7.7640507
-6.6730315,-0.044669133,0.70151431,4.070046,5.9812963,2.8412465,-4.6141805,3.368362,2.7042077,-3.4331646,-11.949966,-5.2334241,-1.105956,-6.9886831,-11.257625,-11.385587,-5.8032638,-8.5998134,-0.30461556,-1.4897102,3.6278407,6.3882545,8.0355913,7.0736459,8.4706147,11.37845,7.819526,3.9387752,3.6007205,-13.933155,5.1337076,7.6830226
-1.5749226,1.5103333,-1.0692445,4.1467337,4.9876137,2.3527899,-4.0976773,3.4829691,3.1339397,-2.8291031,-11.912299,-3.9137387,-1.2269423,-8.2375301,-15.895181,-15.810654,-10.209963,-9.5826644,0.65563174,1.8153701,5.8952988,6.9714716,7.9455897,7.7391582,6.3949003,10.727422,5.9107774,0.084157062,4.1441518,-5.1033026,5.5477032,8.0171858
-9.119819,0.46597221,3.6231101,2.5565265,4.3243307,3.4859676,-3.7773202,3.8289628,4.7095077,-2.7651631,-8.5316622,-0.62180592,2.5377563,-3.3160227,-10.096794,-10.333108,-4.4921352,-5.1384315,0.53673822,1.1487296,2.6245217,7.2354909,6.5985853,4.767686,4.3813397,9.0787606,5.3801586,-1.3284146,1.3447456,-20.465493,3.8984438,7.4588269
