FP1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,PZ,PO3,O1,OZ,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,FP2,FZ,CZ
1.7716015,0.98246907,1.2082571,-0.51312301,0.13084298,0.64450596,0.72568277,-0.2337628,-1.1400189,-0.32362092,0.36322146,-2.2173741,-1.0150198,0.084781656,0.48107511,0.15249361,-0.13287197,-1.0471243,-0.67286575,-0.77452287,-0.14677776,-1.0563398,-0.11669305,0.3478937,0.74145766,-0.48953407,0.41665375,0.99011792,0.70490671,1.766572,-0.037157732,-1.5957274
1.9328373,0.099268398,1.1598347,-1.3514791,-0.70402025,0.25615905,-0.20527673,-0.8178917,-0.63777809,-2.6345356,0.59173986,1.3322901,0.5939163,4.3369631,3.9581695,2.9414177,2.4119554,0.081638935,-0.12010503,-1.1010722,-0.75265963,-1.6927016,-0.86410956,-0.032041801,-0.23321661,-2.8890033,-1.876368,0.91463515,-1.4517079,0.57107789,-2.4820694,-1.3358692
5.6298693,1.560894,2.0914834,-0.43563335,1.3456062,2.1259804,2.6528661,2.1510486,-1.1425897,-0.68780875,3.1287039,-1.2858694,-2.6029376,2.6068511,2.3667477,-2.5340539,-6.7316523,-13.030535,-3.3290514,-2.5365974,0.45930556,-2.9082494,1.1337211,3.5449006,2.6275826,-0.30942939,0.97269487,0.87989703,1.3896232,2.7746504,-1.677631,-0.23038355
2.6296346,0.15192942,-0.20440684,-2.4735857,0.804252,1.1619053,1.0315451,0.45531539,-2.0268821,-2.870693,2.7163589,-2.1013995,-2.1651158,3.2899743,3.6439143,-0.095005061,-2.2540426,-7.1257641,-1.307434,-2.0320603,-1.398172,-1.1786356,1.4852946,0.69735093,3.4035697,0.97530109,2.6263086,-0.35509645,0.5668102,0.46461933,0.6032583,0.8809498
2.6603013,0.41112747,-0.91189942,-2.2225258,0.32770649,-1.1080685,-2.4273867,-2.4830705,-3.746283,-6.6223382,-0.55795909,-2.2944412,-1.7328905,3.1798507,2.8044024,1.583558,1.0067164,-1.1303579,0.45969752,-0.33709177,-0.47425524,-0.54079156,2.0818894,0.87262965,2.8935059,1.792243,2.2263829,0.3677269,0.57070895,0.97380958,1.7332829,0.64381424
3.3237008,0.34541314,-0.054395364,-1.853598,0.70357073,0.32612913,0.41982178,0.034917034,-2.4082526,-3.1472076,2.3466867,-2.0212182,-1.7378848,3.527624,4.0340207,0.3832115,-2.7522513,-7.4229062,-1.3694538,-0.96074654,0.086021341,-1.4950917,1.4315269,2.2149677,2.7163471,0.63237981,1.5907795,-0.12035427,0.76962749,1.0043769,-0.42942664,-0.11833491
3.7280136,0.74145384,-0.23012371,-2.6768444,0.20266876,-0.89103015,-0.72178788,-1.7290023,-4.4670722,-4.5981389,1.3811963,-3.268087,-3.1771843,2.5632452,3.0854831,0.80662445,-1.8507037,-5.28047,-1.1643055,0.39800086,1.1089222,-1.8601969,2.1514919,3.1685404,3.8211374,1.4735784,2.8830263,0.14355148,2.2218776,2.1105913,0.88521572,-0.95967489
-0.034172675,-0.84231873,-1.7762906,-4.3152022,-0.41077065,-2.1260289,-1.5285707,-3.2737245,-3.9999028,-5.421022,2.6640898,-1.2132128,-1.2360814,4.9062709,6.4317957,4.2906215,2.3932549,-0.5970715,-0.37194949,-1.2079928,-0.14818991,-1.321635,1.5138739,0.0083962991,2.8538716,1.4780811,2.9874021,-1.1135088,1.3107715,-0.37025428,1.2895009,-0.82003901
-0.11529646,-0.81934998,-1.2576382,-3.7848022,-0.20003044,-2.0302011,-0.51762167,-2.2097387,-2.6971029,-3.8328302,3.9541292,-0.39811677,-0.41243082,6.1079116,6.7648153,3.1220125,-0.17429502,-5.0923199,-1.5594227,-2.7521607,0.69446075,-2.3280263,1.6489937,0.8490164,2.1594066,2.0143799,2.6049656,-1.1661585,1.7755083,-0.26662532,0.85920697,-0.94064557
-0.17193139,-1.1511414,-0.36378123,-4.1747226,-1.5567315,-1.3716658,0.18144785,-1.1996752,-1.5757976,-1.9104214,3.739873,-0.094329789,0.22375288,7.363991,7.3912543,3.8797482,1.0762719,-4.2158263,-1.7525816,-2.4158415,-0.64027499,-2.4782537,0.075759276,0.18525805,0.82220655,0.61885922,1.3821627,-0.73885176,0.6398851,-0.18457374,-0.016739802,-1.5673337
1.722182,-0.24684124,0.39970586,-3.1320094,-2.3033246,-1.2574078,-0.2494365,-0.9699212,-2.3047263,-1.1004401,1.1966668,-2.6472401,-0.5213046,4.8366603,3.623849,1.8265831,0.20699055,-2.0263876,-0.87308663,-1.6819954,-0.0014948169,-1.5559082,0.76418979,1.1241285,0.81515749,1.1022271,1.1397021,0.61926861,0.89150819,2.1668357,0.1013863,-1.6655251
-1.4619856,-1.4720085,-1.3926248,-2.6142154,-1.2490875,-1.4058587,-0.68269714,-0.13698859,-0.39610186,-0.47084712,0.36415118,-3.9112109,1.2714298,3.9553228,1.6841706,1.185286,1.1486174,1.5621486,2.0827695,-1.706214,1.0978559,0.84288659,1.8948499,0.51185666,0.49115122,1.0585043,0.055229978,-0.5898476,-0.91250346,-0.48922048,-0.0070190337,-0.30780746
-3.2668205,-2.0211874,-2.2236539,-2.8689921,0.48415317,-1.3798244,-1.7544421,0.0065015908,1.1853142,-1.9268507,-1.7635409,-4.844525,3.4048945,3.3005579,-0.062925378,1.0377499,3.0643332,5.0980647,4.5811935,-2.0411421,1.1385936,2.545198,2.3014034,-0.6626221,0.5112078,0.81457945,-0.64301641,-0.97444821,-2.4786357,-2.0663048,0.20231541,1.3028664
0.75630755,0.12216282,-0.38227116,-1.1905974,2.8219387,0.24167999,-0.67032618,1.4178987,0.79452034,-1.4809269,-2.9856806,-6.3137321,2.6372004,0.8985286,-3.9549397,-2.9667601,-1.5515835,1.137342,2.7736795,-3.0201454,1.0648368,2.157604,2.5293091,0.67788267,1.4413744,1.3054684,-0.16648812,0.31832353,-1.2756314,0.85418267,-0.018447091,2.0272863
0.85194278,0.46227601,-0.17662629,-0.085505453,3.3420337,1.7429611,0.4702151,2.1498519,0.83527376,-0.48733817,-2.549792,-5.717539,2.610823,1.1760835,-4.8996255,-4.2798249,-2.8639713,-0.14285951,2.0440139,-3.593221,-0.06752832,1.7084878,2.5088611,0.18774426,1.9453083,1.3090508,0.22238948,0.21064564,-1.3722677,-0.071224964,0.2835796,2.2457769
0.63688479,0.72194386,0.14277088,-0.3110438,2.8507447,1.5587121,0.064164148,1.2315964,0.092412531,-1.885842,-2.6755102,-4.8377128,1.6478321,1.7172849,-4.9046454,-4.6462127,-3.2203899,-1.9365751,1.1912903,-2.9161861,-0.41139628,1.1708652,2.8893182,0.68565533,2.9193135,2.311598,1.8868626,0.6910529,-0.28200358,-0.75832064,2.2562522,2.1192783
1.6686749,1.4211284,0.96953204,-0.53411716,3.2103779,2.5250398,1.8316254,1.8628908,-0.26712055,-0.85415837,0.10964195,-4.3518948,0.30722018,2.7801021,-2.993188,-5.6192158,-5.9894858,-8.0317377,-1.7701565,-5.3464686,-2.0220164,-0.045834627,2.5722,0.092302518,3.3651433,3.6530627,3.7258094,0.86007933,1.1289394,0.041585892,3.7106423,1.9893915
2.3216757,1.9210076,1.9660264,-0.72561916,3.560738,3.6031922,3.888434,2.6859221,-0.38162434,1.4411401,2.7526843,-3.3721339,-1.2490227,3.7759445,-1.6900169,-6.3254907,-8.1537553,-11.7915,-4.0986474,-7.6222785,-2.8767751,-1.1145546,2.0172756,-0.089479035,3.4016988,3.4912446,4.3914145,0.9104062,1.8424428,0.77198576,3.8765114,0.87114864
3.0125585,2.597249,3.7270738,0.33229802,3.4359983,4.0667495,4.7773184,3.2448791,-0.00068249533,2.6277586,3.5290808,-1.8847812,-2.70036,4.2496825,-0.21111727,-6.6349701,-10.274492,-15.426163,-5.7243524,-8.8030883,-1.8085309,-1.908075,1.5884765,1.7614927,2.8060042,1.8770522,3.68786,2.0314098,2.3773522,1.1676652,2.9965487,-0.51789598
4.0543371,3.1243197,4.4818121,1.2580146,3.1272025,4.2540494,4.9395974,3.7310176,0.26543364,3.236708,3.0115407,-1.6991966,-3.4704554,3.028755,0.21209969,-6.9743868,-11.679756,-16.995787,-6.4340593,-8.9648191,-0.9914958,-1.6841388,1.7338187,2.9464413,2.4010391,0.89452001,2.8553315,2.6868253,2.6736191,1.9842557,2.4069145,-0.41355573
3.3981216,3.3287523,3.3007896,2.3023531,4.1741912,3.8520064,3.5360542,3.3345446,0.02795308,2.5146879,1.3737646,-3.1069009,-4.341631,1.8081188,-0.22343715,-6.4473117,-10.602164,-14.664172,-6.0207838,-8.7112429,-1.2126978,-1.1350151,2.2161887,2.3845229,2.3253751,2.2027656,3.3267678,2.0421774,2.8294454,1.6082207,4.0772351,0.50132286
3.0138806,3.6657006,3.1540333,3.0492729,4.3337673,3.7550736,2.3873824,2.8116119,-0.78455258,1.4930851,-0.75234322,-4.8941527,-5.115407,0.39127266,-1.3953689,-6.9989861,-10.644205,-13.980345,-5.6317296,-8.0805774,-1.4473922,-0.57265031,2.7687504,2.6032237,3.1902509,3.9417476,5.1795617,2.5424824,3.7669416,1.2657141,6.0371643,0.94679675
2.5663457,3.2246423,2.5666178,2.8292411,2.6298714,2.9313437,1.198679,2.0507082,-1.9547384,1.1632625,-2.5881991,-6.3074777,-5.6396568,-0.60853063,-1.8277981,-6.1962753,-9.5381309,-11.938508,-4.6312184,-5.1918673,-0.73510835,-0.47439667,3.0933239,3.7455639,3.812029,4.5542829,5.9897588,2.5108223,4.424477,1.0415924,6.6318875,0.6674575
1.5004916,1.7260407,1.2760579,1.1667343,0.55315625,1.7951793,0.30544256,1.422468,-2.0477967,0.94739244,-2.972039,-6.4095311,-4.6920571,0.17620671,-0.21862086,-3.0396256,-5.858379,-7.4915126,-2.7233801,-1.7035362,0.04015491,-0.19554293,2.7301971,4.0554842,3.3772257,2.785282,4.2796015,1.4326078,3.058511,0.098585193,4.8019954,-0.17679223
2.6565728,1.7671195,1.7298402,0.61778245,0.049151618,1.4057541,0.47860725,1.1817269,-2.3909827,0.15441231,-1.4683353,-6.4725575,-4.6050724,1.5804293,2.4334445,-1.4168754,-5.1455659,-8.1217961,-2.9341619,-2.3852733,0.37275803,-0.74898907,2.2489683,4.1777003,2.7493845,1.4983126,3.1142612,1.8185325,2.6111641,1.1650318,2.9933242,-1.114668
2.09772,1.0522934,0.9069008,-0.64945222,1.174412,1.1893505,1.1756433,1.5541095,-1.3830822,0.44717557,1.289416,-5.0270413,-2.7100675,3.3949026,5.2647135,-0.30281045,-4.4975631,-8.7657727,-2.9324514,-5.5084024,-0.80516226,-0.60595496,1.2961235,1.6260763,1.383252,1.4057911,2.1200318,0.69772889,1.4144318,1.4312952,2.1492866,0.11710721
1.4168842,0.39258453,0.53309184,-1.5264558,1.8157545,0.97589471,1.3724825,2.1750958,0.57991939,2.0838844,1.4656847,-2.2389458,-0.33565382,3.980183,6.1430452,0.70620185,-3.4155815,-7.1647108,-3.3818826,-6.6487847,-2.0720393,-0.20353891,-0.31544824,-0.47452796,-0.72779204,0.64160765,0.31872699,-0.35581871,0.19848766,1.5996478,1.166601,1.2954054
0.10432632,-0.33973229,0.29760607,-0.76845222,1.7892924,1.2555308,2.3547457,3.3731452,2.684152,4.113741,3.1385722,1.0938886,1.3362534,5.5194757,6.9962629,0.89527733,-3.5742715,-7.2449676,-4.0154322,-6.8096501,-2.7249274,0.36192776,-1.5723285,-1.3456266,-2.8161004,-0.99357599,-1.9421664,-1.1676798,-1.4356175,-0.16230102,-0.2369045,1.8355407
