FP1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,PZ,PO3,O1,OZ,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,FP2,FZ,CZ
-1.7063996,-1.2708203,1.9969165,0.16082863,1.6070887,2.07819,2.4021204,2.7942799,2.504796,2.2352832,1.2073766,2.8101859,1.6450863,2.3291662,1.4048804,1.086772,0.13522294,-0.082578344,-1.0481955,-0.59702936,-2.3694933,0.32462629,-1.440978,-1.5625958,-1.7021553,-1.465341,-3.619011,-2.9046334,-3.4255855,-3.134689,-1.5455751,1.1522533
-2.2769409,-2.0553921,0.64429126,-0.26111487,0.92525951,2.9829293,4.0039453,4.5502382,2.9484435,5.4471535,5.23436,5.888713,2.0744439,4.6281575,4.4092027,2.3411859,0.4241101,0.18414088,-2.044081,-2.9547807,-4.2029825,-0.93112427,-2.4253974,-4.5129399,-4.2930105,-2.2934741,-4.6007064,-4.9460235,-4.2978455,-3.5433568,-1.8637807,0.81637041
-4.0949255,-4.1054753,-3.6261505,-2.1525741,-0.46043824,2.3590274,3.3301026,4.4313552,2.4367702,6.9441203,8.2735708,8.7433142,3.1161513,8.3916307,8.8626084,5.8912906,3.509762,3.04712,-1.2778656,-2.7011244,-4.8804696,-1.5848771,-4.1519124,-4.5584611,-4.1654292,-3.4408064,-6.0969511,-5.7179078,-6.7282316,-5.8196167,-4.1756884,0.40207452
-4.2164485,-4.2772189,-7.492904,-2.8930186,-0.92940917,0.64170724,-0.20006918,3.1565552,1.7300156,4.8710482,5.6012473,8.2145114,3.8869111,9.3705478,9.228384,7.459471,6.2719901,5.1352178,0.80279753,-0.2690557,-1.3746761,-0.25347203,-3.6196247,-3.8241848,-3.315584,-3.3608602,-6.2624719,-5.6520289,-7.4293334,-7.0169098,-4.7681211,0.78498262
-4.0479136,-4.2068478,-10.88774,-2.69399,-1.1576808,0.65066094,-2.1291049,3.0314178,1.7815561,4.4715958,4.8957962,7.2885964,4.245294,8.9397726,9.1475679,7.7851789,7.8162685,5.7817127,1.726566,-0.89269759,-0.1571294,0.97098964,-3.027243,-4.4215462,-3.2245316,-3.3288291,-5.4544976,-6.0571456,-6.571169,-6.6714464,-4.4213327,0.81787213
-4.8850702,-4.7183722,-5.2949286,-2.5781221,-0.71315383,2.1271795,1.0380949,3.6951495,1.8815593,4.7649659,5.2644017,7.5506041,4.0224942,8.8785914,9.199969,7.3964123,6.0449193,4.1411054,-0.044347223,-2.1516802,-3.8487888,0.6584186,-3.3640337,-5.366971,-3.9823349,-4.1308089,-4.4675602,-5.8256707,-5.4383079,-5.7574234,-4.7924962,0.69619267
-4.3285816,-3.6085917,-1.7577958,-1.7829702,0.32580868,1.9734061,0.88678752,3.279418,1.9057937,2.5447069,1.0769921,5.4342852,3.3533357,6.1580828,5.065379,4.9410248,4.2592312,2.2501299,-0.020717075,-0.70273725,-3.2660774,0.89887658,-1.1510947,-3.4517557,-2.4247967,-3.0563035,-3.2544752,-4.298179,-4.0913239,-4.6498166,-3.7343353,1.2262771
-3.5584188,-3.2017695,-5.5562305,-2.8708011,-1.0822283,-1.4659991,-3.2355335,1.4120016,1.413478,0.033508344,-2.3330749,4.2655088,4.1777968,5.3834438,3.2019679,4.2355046,5.166897,3.6065576,2.8694149,1.8657264,1.7626289,2.8025909,0.94327715,-2.2495275,-1.3828465,-2.0882679,-1.9001265,-3.272719,-3.0644772,-4.1707547,-3.2341757,1.5266384
-5.0729886,-5.1125372,-10.686994,-4.0906224,-1.2884027,-1.8592984,-4.6417974,1.339773,2.3575284,1.4386598,-0.025447929,5.8805604,5.5351029,7.2784988,5.5335558,6.1532451,7.3396833,5.8102426,4.3531645,1.3607437,2.6278595,3.638424,0.42378441,-3.7553505,-2.198347,-2.8355638,-2.437045,-4.7055055,-3.935763,-5.3799926,-4.5510427,1.5058679
-6.261669,-5.8348766,-6.3204227,-2.8165784,1.841771,1.5792663,-1.2638212,3.7259917,4.4107961,3.388532,2.1372475,7.2978355,6.0835132,8.2796138,7.1608783,6.8214897,6.4590257,4.9389353,3.1411846,-1.3591993,-1.3880197,3.4229521,-0.0079196227,-8.7175114,-6.569609,-4.1258363,-4.4579032,-8.4606084,-4.8602633,-6.1497625,-4.424183,2.3291393
-7.0592173,-6.7734726,-6.5298019,-2.6814166,2.888712,3.0497405,-0.096869867,4.6816853,5.316439,5.4106351,5.6457734,8.7714095,6.9838791,9.9682799,10.043621,8.4099216,7.5898995,6.316375,4.246453,-2.7646916,-1.8523882,3.6687093,-1.2661297,-13.364807,-11.10418,-5.2644072,-6.6016755,-12.145332,-6.3106456,-7.1551083,-4.5668614,2.5454632
-7.0557618,-7.7083892,-17.250762,-3.6710908,2.5070818,0.92637019,-5.1464366,3.7035564,5.778405,5.3418106,7.1295806,9.5444096,8.4414864,12.583658,13.796399,11.686309,11.452594,10.432863,6.41142,-2.8189683,1.3730304,5.2786338,-1.7792887,-13.972798,-10.535014,-5.5221518,-7.7468245,-13.385995,-7.7898492,-9.2810599,-5.4583109,2.7350982
-5.3813386,-6.0059314,-15.90419,-2.3407662,3.6317545,0.65950312,-5.4149996,3.1174989,5.1916891,3.9835983,4.004465,7.4465545,6.80512,9.7582045,9.233406,8.8334471,8.6285843,7.9107824,4.8556347,-2.2147098,2.4963087,4.8066914,-0.64633016,-11.951316,-8.0506287,-4.5759769,-4.9464792,-10.790512,-4.7744253,-7.0662635,-3.895872,2.5965026
-5.2023093,-5.2891639,-7.441466,-1.641478,3.7340635,2.3554387,-1.0310115,4.4527508,5.4756967,4.8254274,4.2379802,7.6732467,5.8541194,8.3137622,7.6592649,6.6031659,5.4900749,4.9323015,3.0179071,-2.4630829,0.28150571,3.1893168,-0.92423938,-12.607927,-10.061743,-4.2870697,-5.2452526,-10.67121,-4.644937,-5.8660127,-3.2179372,2.4988159
-3.5192735,-3.3786998,-3.8225532,-0.65986948,3.4721599,2.6116884,0.33377229,4.6183273,5.3282174,4.7172467,3.6398482,7.3587391,4.7232347,6.7003236,5.6648825,4.6024089,3.4117293,3.1661128,1.6635926,-2.2239356,-1.9197783,1.24952,-2.7934486,-9.847667,-8.3151974,-3.986914,-5.3012268,-8.6235418,-3.9989316,-4.5823817,-2.0452195,1.7568309
-2.660549,-2.2919692,-5.2954457,0.21619841,4.1655,2.5406524,-1.0700139,4.5099201,4.8248943,3.6714497,1.3869199,5.9144874,4.1430576,5.2075829,3.1711643,3.7518568,3.688935,3.1503954,2.3520449,-0.6741698,-0.89212508,0.87893354,-3.1616014,-7.0257493,-5.6770076,-3.788789,-5.2197322,-7.3575158,-3.9081732,-4.7894381,-1.5645867,1.8028737
-4.2996282,-3.7734485,-4.0468721,-0.16230263,3.6459328,4.7991013,1.7840374,5.5908861,4.19681,6.2911814,5.0997762,8.0719184,4.5024745,8.3728524,6.9217543,6.4846387,5.7222341,3.9124002,1.262068,-1.3734477,-2.2024522,0.51344931,-5.6481582,-9.2353882,-8.1024505,-5.302243,-7.649131,-9.777741,-6.808267,-6.9656495,-3.4395575,1.6152191
-5.4593055,-4.275948,1.1370738,-0.24671453,3.4085285,6.5173326,4.5185703,6.6660393,4.0705656,6.4971274,4.8757776,8.7439859,4.5695995,9.3296417,7.853064,7.3857388,6.243685,3.4120323,0.33459223,-0.10440129,-3.9459869,-0.17765927,-7.6155204,-8.4805089,-8.5716384,-6.0929835,-9.6165898,-9.9990762,-9.1885304,-8.5942055,-4.95232,1.7580212
-5.7153696,-4.9583946,-4.9615628,-0.72163291,4.2964767,5.0851034,1.793814,6.6426526,5.0088643,6.6050026,4.7707886,9.5386864,5.2291802,9.8395329,7.9028165,7.7388077,6.2762363,4.3761614,0.76460686,-1.3343529,-3.9149002,0.23519701,-5.6598032,-8.6721085,-7.0382265,-6.0096089,-8.1688796,-9.8684387,-7.838654,-8.4842487,-4.8412557,2.0835003
-6.8418828,-6.4853763,-5.7184665,-2.4434887,3.3227528,2.9993976,0.82372584,5.2823392,4.6096982,5.5421578,4.2213547,9.1377909,6.0779988,10.18404,8.0129045,8.0150632,6.5478478,5.5894676,2.7210535,0.57908375,-0.094235482,2.1378586,-3.8314963,-9.3435961,-7.9114128,-5.6843675,-7.3157461,-9.9103107,-7.9170937,-8.8988594,-5.9641084,2.5558986
-7.4289354,-7.16759,-5.5580604,-3.8712643,1.5986676,1.4281406,-0.32007618,3.1973765,4.3176871,4.1040639,3.5121094,9.3275129,6.9205217,11.643638,9.67778,9.2752197,7.9954511,6.519212,2.8683161,1.1863573,0.13197973,3.6632972,-3.4596698,-8.4155919,-7.1134999,-5.3861461,-7.3551693,-9.2207798,-8.3588768,-9.1909389,-6.902861,2.3821149
-8.7358045,-8.762963,-7.4694873,-4.9383168,1.2675666,1.462926,0.052522049,3.3719824,5.4673916,6.1784384,6.4907913,11.304049,7.9711633,12.842567,11.15814,9.9746386,8.6634551,7.618114,3.9475075,0.44018243,-0.1394102,3.6906146,-4.5945807,-10.214391,-8.7984502,-6.1745218,-7.7660505,-10.470791,-8.6896903,-9.4213116,-7.7351391,2.0088483
-8.3672394,-8.970111,-13.434521,-4.6134714,1.9517302,1.3259449,-2.2843944,4.6300095,7.4775022,7.4335567,7.3428208,11.693169,8.8147929,12.758815,11.643814,10.04819,9.4756797,8.4214842,5.0265154,-0.62924248,3.7587897,4.8361427,-3.6197456,-13.594917,-11.474647,-5.6783679,-8.1859669,-12.790791,-8.8121348,-9.7697846,-7.0755148,2.6618976
