FP1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,PZ,PO3,O1,OZ,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,FP2,FZ,CZ
-2.3873604,-0.46469823,-2.7672449,1.2085216,1.9839886,-1.2565679,-2.3480788,-0.26396093,1.0674184,-1.6234303,-1.7622094,-0.67754497,2.6592132,0.63208139,-0.49772604,0.48650272,1.0658288,1.9808752,1.1197883,0.96099863,-0.65451929,0.94849675,1.3158821,-1.0516391,-0.69949796,1.5980968,0.65700364,-1.8373746,-0.65076936,-3.6912713,2.9465597,2.0026356
-3.1081729,-0.17944372,-1.2127459,1.673943,2.6977099,-0.41269867,-1.5790735,0.25292404,1.0955711,-1.567291,-2.6773033,-1.2732744,2.6054367,0.40129915,-1.3272357,-0.41883519,-0.2477778,1.7274764,0.5891891,-1.3242901,-2.7985753,-0.066524466,1.5421391,-2.1817146,-0.41638647,2.5190495,2.4725807,-1.155353,0.96971032,-3.6300249,5.029752,1.9999377
-4.634468,1.4595809,-0.67437842,5.2896595,3.7195177,-0.24679426,-4.1780592,-1.2007105,0.96627223,-3.6740813,-5.1945493,-2.5348959,2.6888643,0.20139883,-2.5896423,-1.2731323,-0.46918444,2.6248311,1.817116,-1.3242893,-2.8394803,1.1823976,3.595332,-2.623081,0.0099034984,4.9625889,3.5369598,-1.1901364,0.12826824,-8.7102503,7.5057152,3.6687177
-5.5497532,3.7870768,0.55509968,8.2755772,4.8170086,0.58013235,-5.6179716,-1.1952333,2.1618062,-4.7140163,-6.4029441,-3.0489697,3.9997178,-0.06990652,-3.8969212,-3.4225306,-3.7510427,0.88691706,1.281884,-3.7362461,-3.2499807,2.9362788,3.1244071,-4.0628609,-0.17999722,5.6355621,4.0198063,-0.27904909,0.59678611,-7.3358294,7.8816752,5.9735037
-4.4539711,4.0245217,0.29839606,7.5050144,6.2850437,1.3411061,-3.8819917,2.4002344,2.9861301,-2.6604472,-7.2023323,-2.1402269,4.9188829,-1.2495469,-6.371958,-6.0184297,-6.9974674,-2.4796857,-0.95421589,-7.3847626,-3.7370317,3.7151185,2.6872706,-4.5512009,-0.12199465,4.5607398,3.4182916,-0.13151474,1.97049,-1.5217049,7.0965266,8.6507111
-1.0216013,4.3356362,2.5488708,6.9130539,6.8517579,1.7797125,-4.1848521,2.6875915,1.8613373,-4.5476867,-9.8130947,-3.2848929,4.5517691,-3.4961652,-8.930407,-7.1046707,-6.7243206,-2.8227023,-0.69999066,-7.5609212,-3.1758107,4.6236122,4.0902858,-3.299813,0.90531585,3.8553355,1.9124517,1.1279541,1.9271384,-0.68100096,6.8960222,10.480086
-0.98771225,4.9100983,0.82091641,8.2579839,7.3997238,1.48065,-4.9652821,3.6019761,2.5160414,-5.2630605,-10.020715,-3.5370755,4.5682702,-3.7628194,-9.2777562,-8.0022589,-7.6116562,-2.5387763,0.64347645,-8.3065475,-2.1010095,6.2611076,5.3176171,-2.6806086,0.9251032,3.4535626,0.88426241,0.77794783,1.0830487,-0.7918691,5.7033095,11.242054
-0.39467243,6.2650074,0.64321144,10.193729,6.8596515,2.0396326,-4.6991034,3.690285,3.8954594,-4.859102,-9.7457134,-4.0547169,5.3274685,-4.0260108,-10.444834,-9.5936656,-9.2913642,-2.2826111,1.5635371,-8.7760666,-1.2471423,6.6197855,5.5545455,-1.979826,1.0051052,2.7145236,0.0078124266,1.4526451,-0.055044234,-2.0442259,4.7106395,10.951059
-1.6901295,6.9501466,0.1276354,11.881766,8.5737986,2.5597681,-4.7160407,5.0060291,3.8648636,-4.4507566,-10.539675,-4.2400009,5.1664924,-5.6930836,-13.263803,-12.38937,-11.027646,-2.7496666,1.8759945,-9.6169941,-1.1464108,6.5089533,6.0793653,-2.0124303,1.2395864,3.4126916,1.1906559,1.3435256,1.0382698,-1.5459404,6.5206191,11.741788
-5.0862872,6.3167934,0.67381488,10.847059,11.098118,1.8151942,-6.740993,4.7448268,2.7747513,-6.2361151,-12.071457,-4.4627371,4.2134081,-6.7117814,-14.688244,-13.984239,-12.146052,-3.772534,1.5953442,-9.7260863,-1.6321328,6.9179114,6.4722218,-2.7768251,1.3754803,5.1792428,4.5127384,0.42425171,5.2903645,5.0940109,8.3783931,12.31157
