FP1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,PZ,PO3,O1,OZ,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,FP2,FZ,CZ
4.3820711,1.360242,3.8981083,-0.33339421,-1.2115863,0.91816665,1.202429,-0.40268356,-2.0686575,-0.44752642,-1.3691541,-1.2038675,-2.6638374,-1.5249926,-1.669209,-1.9431225,-1.1355537,-2.0945126,-2.8005957,-0.54470447,-0.49815449,-2.1974709,-0.14947062,1.0367507,1.6389214,-0.38555977,1.6969316,3.5926654,2.4544522,3.3108661,0.025748557,-0.87330737
2.6181169,-0.06289038,2.6619944,-1.5768794,-2.1511166,-0.040811592,1.2259555,-1.0136644,-1.3790576,-0.32965805,0.32061293,-0.024598819,-2.1050307,-0.36617879,1.2370341,1.722191,2.5664524,-0.27982385,-1.4089662,1.336532,-0.22317418,-1.9091787,-0.87310136,0.86982274,0.47094541,-1.9468166,-0.68584464,2.2485314,0.37532223,1.9138311,-1.9863518,-1.2042038
3.1695505,0.43093479,3.909227,-1.668201,-2.1942789,0.46591748,2.5344784,-1.3313711,-1.5343329,0.46711268,1.9405601,-0.34763517,-2.5580964,-0.42724974,2.1009765,2.1518006,2.0318873,-1.1047473,-2.0833628,0.28196373,-0.42665464,-2.4320731,-1.6317058,1.6967335,0.39726919,-2.8776024,-2.3826269,3.4433682,-0.40528854,3.1572633,-2.721662,-2.0521591
4.1713586,0.57503967,3.8498307,-2.1791133,-3.1149687,0.13138807,2.792319,-2.1942222,-3.0375695,0.29217288,3.3384918,-1.1445633,-3.4115757,-1.0314844,2.1130926,1.5307121,0.86188961,-1.3441923,-1.8978252,0.826108,0.53722203,-2.0575562,-1.4258357,2.0107252,1.1114273,-2.5312283,-0.81129212,1.8664235,1.1273865,4.2529907,-2.9798641,-2.2272911
4.5563877,-0.10310425,4.0638829,-2.6917764,-3.9858442,-0.50467207,1.9642026,-3.1490574,-3.755213,-1.3043801,2.8965775,-2.2762634,-3.4572384,-1.7187381,1.0862727,0.37047613,0.39795922,-1.1555774,-1.1067318,1.1941167,1.9723365,-0.71872864,-0.16247932,3.0401054,2.1446652,-1.518636,0.19833685,1.9134938,1.8640243,4.9690673,-3.1813296,-1.8421395
6.5145932,-0.38992698,6.477624,-3.0902722,-5.1808796,-0.2562874,1.4240315,-4.4202917,-5.6248645,-3.4794437,0.41048151,-4.7690807,-4.7864884,-3.3979653,-1.5058876,-2.2615124,-0.19133346,-1.4010478,-0.68518868,2.8672962,3.7493147,-0.36981705,1.5252763,5.0916384,3.9530769,-1.3414828,2.4006998,3.2612802,4.1880837,7.4893629,-3.4253342,-2.7756621
8.5478223,-0.14802118,8.3724448,-4.7025963,-6.0340149,-0.32296766,2.4645232,-5.3150917,-6.8175303,-3.5701597,0.33092985,-5.7859628,-5.4158594,-3.9185949,-2.3631584,-2.7782546,0.28956961,-1.0182644,-1.0121827,4.6948987,4.6145654,-1.1629978,0.4333153,6.3754037,4.1582891,-3.1420295,2.6526538,3.8236685,5.2532577,9.0605058,-3.8102544,-3.7539176
8.612537,1.1599468,8.5626527,-3.4362451,-4.6328667,1.0337843,4.0952514,-3.5822807,-4.7714561,-1.1418852,3.2589754,-3.8138515,-4.2849008,-2.3932627,-1.0251386,-3.7802717,-4.6945299,-4.317586,-2.4378534,-0.67783232,2.704784,-1.1698512,-0.087910537,4.7008125,3.4961569,-3.6476525,1.7226669,3.6262923,4.5393946,8.7041029,-3.3875003,-2.9344899
7.0538218,1.5786929,8.2630112,-2.7659123,-3.5128711,1.0626646,3.2444097,-2.9213994,-2.6485807,-1.4951621,2.1400736,-3.1538691,-2.569639,-1.8699522,-0.85775,-3.5157264,-5.0346065,-5.0324275,-2.1475278,-2.9708584,2.6874312,0.15349482,1.0781392,5.4573334,3.5220511,-3.3497073,-1.2532851,6.0995359,1.4171001,6.7367697,-3.4821672,-1.9130935
6.3839814,0.9053513,7.7546252,-3.0962351,-4.2314738,0.33814998,2.4367504,-3.7656055,-2.7972823,-2.5215352,0.58826664,-3.5665767,-2.6624045,-2.9891112,-1.5177523,-2.4547701,-2.2225039,-3.4755753,-1.3289419,-0.44432702,2.9795676,0.65654618,0.96020717,5.6334587,3.6191741,-3.260562,-0.91732002,6.6674745,1.5575341,6.2219206,-3.7785097,-1.6725275
5.7080538,0.37239078,6.2286523,-2.1188574,-3.2617494,0.96222311,3.5528966,-1.933778,-1.5555584,-0.27690366,3.2207268,-1.8269282,-2.146628,-2.2943632,-0.72121926,-2.2368158,-3.4797961,-4.5718483,-2.3957211,-2.3999412,1.2231498,0.45869326,-0.3079459,3.1006639,2.277709,-2.6106615,-0.66878845,3.995254,1.6180808,5.7545673,-3.1684074,-0.49715356
5.9495936,1.2678265,6.2144938,0.14440775,-0.59163708,2.7077416,4.7967735,0.97866417,0.16485758,1.0181575,4.5950406,-0.80217507,-1.9487238,-1.8861967,-0.95183572,-4.4291006,-7.9524779,-7.577988,-3.6442111,-6.502924,-0.42061288,0.25521788,-0.52509875,1.6108191,1.3013169,-1.8108024,-1.7498977,4.19833,0.44398427,5.2963209,-1.4988038,1.3489386
6.4850524,2.4487708,6.9110455,0.89377859,0.4071641,3.2679935,4.0437447,1.6095379,-0.37486328,-0.41436055,1.5849399,-2.2938612,-3.51671,-3.9443368,-2.9652592,-5.2912309,-6.4559051,-7.6963931,-4.0732998,-4.66917,-0.044769713,-0.30128976,0.17147818,2.5426289,2.0498755,-1.2743303,-1.1338477,5.3091021,0.75940377,4.8426975,-0.83237178,1.9547819
9.153768,3.4416119,9.9903819,1.6502628,0.62165625,5.1103032,5.7283829,1.939078,-1.5521978,-0.31176118,0.79058325,-3.5419544,-5.9277426,-6.0364977,-4.5862407,-6.0791749,-5.7649931,-8.9248336,-6.3625328,-4.5726589,-1.2713026,-2.4058264,-1.3596063,2.5856679,2.3614166,-2.651206,0.31354432,6.8084886,3.071909,7.3285209,-0.64695366,1.0998984
11.72418,3.50726,11.668167,1.8619277,0.741107,6.0021495,6.8725563,1.9434249,-3.4978098,-0.10917388,0.75962122,-4.483145,-7.5220561,-7.4052661,-6.1777411,-7.564664,-6.6218397,-9.4918588,-7.205188,-3.7680818,-0.67195217,-3.8844563,-1.3816558,3.4866687,2.7432926,-3.2948215,1.0498777,6.8875874,4.4396555,9.7380462,-0.35787391,0.012053616
12.036842,4.2648105,11.734535,2.3219736,1.4811182,5.7388476,6.0773247,1.5677142,-3.4222859,-0.34822259,0.23243406,-4.837573,-7.2492768,-8.2732045,-7.5515055,-9.8063278,-10.482348,-11.149564,-7.3324879,-5.2630841,-0.17420022,-3.4926988,0.055929774,3.9201866,3.9740317,-1.5421696,2.8272691,6.9080978,5.8541502,10.464268,0.76933386,0.69607561
12.271694,4.7967405,11.575125,2.5069505,0.61336333,4.8771996,4.3824769,0.27352042,-4.2288938,-1.9721194,-1.5213788,-5.9724853,-7.3253688,-9.7468246,-8.7519647,-9.5913257,-9.6391171,-11.518347,-7.7218091,-5.6618957,0.5620733,-2.9608762,1.4111822,5.0424308,5.7337769,0.44734953,4.3192354,8.3358077,6.8282531,10.86056,1.2917814,0.48287684
11.560913,3.8648797,10.449885,0.75087034,-0.26311891,3.4759345,3.3842259,-0.22658446,-4.3070262,-2.6255519,-2.0765005,-5.8031886,-6.5443216,-9.1077333,-7.7233533,-6.9994648,-5.7277948,-9.2247251,-7.079189,-3.5843616,1.5117527,-2.7416473,0.7960977,5.3270724,5.3045059,0.10890171,3.7786045,7.0004837,6.0633499,9.4037273,0.76327892,0.49006644
10.520883,4.3696349,9.0103974,1.3492703,0.60745956,3.1275967,2.6051958,0.28967844,-2.9147581,-1.8242668,-2.795263,-4.3085675,-5.417839,-7.9841005,-7.6315858,-7.5127949,-7.1717411,-9.4163079,-7.2400365,-3.1972688,0.80846624,-2.7396395,-0.16085924,4.0906892,4.7969051,0.37002491,4.5269534,6.3744614,6.2959531,7.7062128,1.9940268,1.4712084
8.7846758,4.9028331,8.1304985,2.8293006,2.0155022,3.5233395,1.3936795,1.4052328,-0.43566467,-1.345575,-3.6064683,-2.9690844,-4.4577904,-7.0172955,-8.0966356,-8.9367965,-9.4690574,-11.10394,-7.5886646,-4.7244519,-0.13537527,-2.8290951,0.1336072,2.8951439,4.7429476,1.4135518,6.1644967,5.1542066,7.2683953,6.6655452,3.2839116,2.009016
7.5513489,3.9677145,8.3129586,3.1511318,1.8395377,3.9742211,1.9560425,1.6905584,0.64676785,-0.92760885,-2.7331862,-1.9626884,-3.4579329,-5.0925264,-6.7085638,-7.1633123,-6.5873916,-9.9653861,-7.3511038,-4.4816386,-0.69923193,-3.337294,-0.7833812,3.5121892,3.5347306,-0.40503728,1.963279,7.1985783,3.890079,6.1104357,1.7507496,0.6059512
6.9840372,4.3738402,8.373041,3.6669593,1.5100042,4.5205955,2.2509873,1.8292261,0.94422108,-0.28217357,-2.4584547,-1.5655181,-2.8584079,-3.7842719,-5.3528177,-6.013289,-5.3706633,-9.5293204,-7.6566444,-3.1840382,-1.1878718,-3.8008992,-2.3677556,3.6680122,3.093637,-2.0724241,0.12298111,7.8942169,2.5309291,5.3334849,0.53322495,-0.14485709
7.9681189,4.7934387,8.8408199,3.7463289,0.76581926,4.6252665,1.710463,1.4701647,0.45963875,-1.0827101,-2.9538442,-1.2946411,-2.3894376,-3.5157531,-4.9235568,-5.4718043,-5.5859854,-9.5711364,-8.021289,-3.4922155,-1.1134098,-3.7278359,-3.5762245,3.4858609,3.4503067,-2.6488097,1.1795001,8.1446442,3.5269078,5.2180212,0.4505792,-0.46723704
7.2330145,3.5567743,7.5539921,3.2643286,0.73367524,4.2764198,1.5785824,2.1582844,0.49771295,-0.94953465,-1.6625519,-0.85567415,-1.8760476,-2.317856,-4.0187637,-4.7306718,-4.3293326,-8.9044472,-7.7590765,-3.8968164,-0.89949193,-3.1614858,-3.2287191,2.8325104,2.7787432,-1.9311011,0.72832852,5.9331987,2.7125709,4.5700816,0.26495644,-0.15161494
5.7265381,2.5780762,5.2420149,2.6879534,1.0850287,3.604582,1.5774541,3.0004134,0.92079584,-0.50060002,-0.17559185,0.11240683,-0.91107936,-0.56895002,-2.096659,-2.7180075,-1.8749997,-7.9964019,-7.1558653,-3.05929,-0.91909828,-2.4435352,-3.363766,1.9026614,1.3803038,-1.9451471,-1.2624296,3.7829055,0.34254427,2.4225643,-0.00045886685,0.62562848
5.9115271,3.3182056,4.4620233,2.396272,1.3152146,2.7205205,0.19479617,2.7463641,0.71214174,-1.7140135,-2.0860298,-0.017071282,-0.97706942,-0.89433204,-1.4285874,-1.9710969,-2.191321,-8.4721764,-6.6760021,-2.4683568,-0.080080481,-2.0354475,-2.45895,1.897682,1.8763201,-1.4901803,-0.18066283,3.3165533,0.66406121,0.89533488,1.0190955,1.6952561
7.1385915,4.458188,4.9103573,2.8892199,1.5480315,2.7104541,0.85055183,2.1422088,0.32040471,-1.1713364,-0.6651288,0.44296399,-1.7773935,-0.5910356,-0.32251516,-2.7254595,-6.1150227,-10.512215,-7.4066999,-5.7782092,-0.62485129,-2.4438138,-1.7504129,1.4212985,2.3575046,-1.2034294,0.59128187,4.1797196,1.4371735,1.7684246,2.0963025,1.8248379
5.8937971,3.9777936,3.1005099,3.9490926,1.534928,2.421771,1.2100091,1.7433314,0.5575387,0.030616995,1.5716191,0.85222644,-2.3189015,0.42727817,0.59644021,-3.0899637,-7.0457659,-10.485091,-7.0517307,-6.1972223,-1.1038223,-2.5491889,-0.86533827,0.33165933,2.0058781,-0.79039109,1.1554,2.2405346,1.6690248,1.7358278,2.6034921,1.8886415
4.576586,2.3881336,1.6270661,3.0701166,0.58765988,1.1246102,0.41875592,0.40526374,-0.47824216,-1.0143262,2.2870571,0.10292873,-2.1413331,1.1359202,2.0755799,-0.50184861,-3.1964614,-7.1448332,-5.0129054,-1.8989905,-0.038670454,-3.4058671,-1.7230061,0.83222987,1.2134513,-1.381855,0.65537994,0.12386511,1.3101619,1.6017599,1.8514095,0.55039952
4.6070223,2.16223,1.9734772,2.916035,1.3832655,1.3384766,1.2624403,0.30731008,-1.2392686,-0.46533559,3.4510677,-0.22252341,-1.6836785,1.734729,2.7148164,-0.016195266,-3.3433748,-5.5953236,-4.7058154,-1.4415153,-0.24910898,-4.3259414,-3.7813881,1.2130198,0.098405752,-1.8344984,-1.217456,0.7205594,0.26283127,2.5073452,1.998638,-0.53025006
